Carrier,Destination,Delay,Departure delay,Taxi-Out time,Taxi-in time,OnAir,Power,MaxSpeed,age,Fuelseat,Fuelburn,Seats,Week
WN,PVD,24,102,25,2,72,27300,473,24,2.68,3.45,160,1
WN,MCO,0,113,20,7,102,26100,473,24,2.79,2.82,126,1
WN,CLT,19,223,42,8,54,26100,473,24,2.79,2.82,126,1
WN,PHX,15,54,40,3,252,27300,473,24,2.68,3.45,160,1
WN,ALB,20,342,30,1,74,26100,473,24,2.79,2.82,126,1
WN,SAN,0,83,23,2,285,27300,473,24,2.68,3.45,160,1
WN,AUS,0,135,14,6,170,27300,473,24,2.68,3.45,160,1
WN,MCI,0,170,22,6,128,26100,473,24,2.79,2.82,126,1
WN,PVD,19,236,26,5,63,27300,473,24,2.68,3.45,160,1
WN,FLL,0,56,15,7,119,26100,473,24,2.79,2.82,126,1
WN,PVD,14,64,9,4,76,26100,473,24,2.79,2.82,126,1
WN,MDW,0,114,19,6,84,26100,473,24,2.79,2.82,126,1
WN,SJU,0,267,11,5,212,27300,473,24,2.68,3.45,160,1
WN,MDW,0,219,9,6,85,26100,473,24,2.79,2.82,126,1
WN,BOS,0,52,7,5,65,27300,473,24,2.68,3.45,160,1
WN,HOU,0,115,8,3,150,26100,473,24,2.79,2.82,126,1
WN,SDF,7,138,11,5,86,26100,473,24,2.79,2.82,126,1
WN,BNA,0,96,12,4,77,26100,473,24,2.79,2.82,126,1
WN,PWM,0,39,9,2,67,26100,473,24,2.79,2.82,126,1
WN,PIT,0,39,10,5,38,26100,473,24,2.79,2.82,126,1
WN,TPA,0,140,9,4,110,26100,473,24,2.79,2.82,126,1
WN,FLL,0,67,10,9,123,26100,473,24,2.79,2.82,126,1
WN,MCI,0,50,14,3,130,27300,473,24,2.68,3.45,160,1
WN,BUF,0,31,12,2,44,26100,473,24,2.79,2.82,126,1
WN,MCO,0,62,10,6,106,26100,473,24,2.79,2.82,126,1
WN,BDL,36,67,36,4,76,26100,473,24,2.79,2.82,126,1
WN,ALB,1,18,9,2,75,26100,473,24,2.79,2.82,126,1
WN,PVD,84,129,13,2,59,26100,473,24,2.79,2.82,126,1
WN,ROC,1,71,33,4,44,26100,473,24,2.79,2.82,126,1
WN,ABQ,0,57,9,3,206,26100,473,24,2.79,2.82,126,1
WN,CLE,0,42,12,5,46,26100,473,24,2.79,2.82,126,1
WN,BUF,1,25,21,3,47,27300,473,24,2.68,3.45,160,1
WN,DAL,0,36,8,19,149,27300,473,24,2.68,3.45,160,1
WN,MCO,0,50,10,17,101,26100,473,24,2.79,2.82,126,1
WN,JAX,0,57,9,4,100,27300,473,24,2.68,3.45,160,1
WN,CVG,111,168,8,4,66,26100,473,24,2.79,2.82,126,1
WN,CMH,0,52,10,5,52,26100,473,24,2.79,2.82,126,1
WN,ALB,0,300,9,9,47,26100,473,24,2.79,2.82,126,1
WN,TPA,0,64,8,4,114,27300,473,24,2.68,3.45,160,1
WN,BOS,20,123,32,9,74,26100,473,24,2.79,2.82,126,1
WN,ATL,0,48,12,8,77,26100,473,24,2.79,2.82,126,1
WN,PVD,9,10,12,4,68,27300,473,24,2.68,3.45,160,1
WN,MDW,0,36,10,5,90,26100,473,24,2.79,2.82,126,1
WN,AUS,0,49,14,5,166,27300,473,24,2.68,3.45,160,1
WN,IND,0,52,7,6,75,26100,473,24,2.79,2.82,126,1
WN,MSY,0,49,10,4,126,27300,473,24,2.68,3.45,160,1
WN,FLL,6,25,11,8,137,26100,473,24,2.79,2.82,126,1
WN,FLL,4,88,11,8,140,26100,473,24,2.79,2.82,126,1
WN,RDU,0,79,15,3,45,26100,473,24,2.79,2.82,126,1
WN,HOU,0,96,11,16,154,26100,473,24,2.79,2.82,126,1
WN,JAX,3,31,15,5,98,26100,473,24,2.79,2.82,126,1
WN,MSP,2,57,16,5,131,27300,473,24,2.68,3.45,160,1
WN,DAL,0,93,12,6,150,27300,473,24,2.68,3.45,160,1
WN,MKE,0,57,12,5,87,26100,473,24,2.79,2.82,126,1
WN,PHX,0,74,11,5,239,27300,473,24,2.68,3.45,160,1
WN,STL,0,36,11,4,100,26100,473,24,2.79,2.82,126,1
WN,FLL,13,81,24,8,131,26100,473,24,2.79,2.82,126,1
WN,ORF,0,34,10,4,39,26100,473,24,2.79,2.82,126,1
WN,PIT,0,29,8,6,35,26100,473,24,2.79,2.82,126,1
WN,PWM,1,34,12,5,64,26100,473,24,2.79,2.82,126,1
WN,BOS,8,38,12,27,54,27300,473,24,2.68,3.45,160,1
WN,DTW,0,40,13,4,60,26100,473,24,2.79,2.82,126,1
WN,ROC,0,40,8,6,45,26100,473,24,2.79,2.82,126,1
WN,CMH,0,41,8,4,50,26100,473,24,2.79,2.82,126,0
WN,JAX,0,190,10,5,86,26100,473,24,2.79,2.82,126,0
WN,MCO,11,15,11,8,137,26100,473,24,2.79,2.82,126,0
WN,HOU,0,40,12,9,151,26100,473,24,2.79,2.82,126,0
WN,CLE,0,130,8,9,43,26100,473,24,2.79,2.82,126,0
WN,MDW,0,48,8,4,88,27300,473,24,2.68,3.45,160,0
