Route,Yield,Seats,Lcl_Percent,Lcl_Fare,Miles,market_share_seats,number_of_airline,number_of_LCC
CLT-MIA,18.49639767,1469.48913,13.24009942,215.7653535,651,1,1,0
CLT-MIA,18.74541034,1513.214286,14.83559881,222.548932,651,1,1,0
CLT-MIA,18.12712209,1477.725275,14.58007594,212,651,1,1,0
CLT-MIA,19.04811211,1308.782609,14.25218564,212.499465,651,1,1,0
CLT-MIA,19.80885976,1302.472826,18.67089716,200.7880993,651,1,1,0
CLT-MIA,20.04775205,1365.955556,18.23937154,211.5065195,651,1,1,0
CLT-MIA,20.04867657,1345.923077,17.61859207,209.5281408,651,1,1,0
CLT-MIA,19.20270199,1257.695652,16.04174228,204.495205,651,1,1,0
CLT-MIA,20.5674711,1333.206522,19.56375636,201.9294912,651,1,1,0
CLT-MIA,20.89608525,1298.233333,18.17555711,219.966485,651,1,1,0
CLT-MIA,21.05100989,1142.928571,19.46940692,219.0105186,651,1,1,0
CLT-MIA,20.51050594,1126.217391,18.7269871,215.0187149,651,1,1,0
CLT-MIA,20.73059441,1235.630435,19.54730411,206.1314912,651,1,1,0
CLT-MIA,20.96165864,1323.433333,19.68883713,217.9886851,651,1,1,0
CLT-MIA,20.81527529,1190.703297,21.05800913,205.5014884,651,1,1,0
CLT-MIA,18.97098197,1146.842391,20.15427649,169.498179,651,1,1,0
CLT-MIA,19.27462841,1281.820652,22.31970979,168.1330143,651,1,1,0
CLT-MIA,18.60020552,1471.697802,18.83949257,190.0291126,651,1,1,0
CLT-MIA,11.67755408,714.0934066,12.49101123,135,651,1,1,0
CLT-MIA,9.985246411,1126.559783,24.21143852,71.99604587,651,1,1,0
CLT-MIA,12.42808335,1265.48913,19.44458359,107.5232943,651,1,1,0
CLT-MIA,11.14662385,1333.311111,24.7127898,85.58295588,651,1,1,0
CLT-MIA,15.05229878,1436.32967,26.25762212,122.9856976,651,1,1,0
CLT-MIA,15.97893373,1422.630435,28.32745385,123.5285732,651,1,1,0
CLT-MIA,16.66170414,1464,31.45836952,118.9784626,651,1,1,0
CLT-MIA,18.906882,1526.838889,28.81134749,160.1257027,651,1,1,0
CLT-MIA,23.50717294,1226.620879,27.88013659,205.0792395,651,1,1,0
CLT-MIA,22.89237012,1237.73913,20.5387021,220.5806562,651,1,1,0
CLT-MIA,25.41401831,1349.923913,20.03910734,247.3722714,651,0.942244444,2,1
CLT-MIA,25.04546263,1402.227778,18.07633053,254.5689426,651,0.907228686,2,1
CLT-MIA,25.58995485,1308.978022,20.19497621,252.1449697,651,0.777942502,2,1
CLT-MIA,22.97206842,1276.440217,17.84010408,245.0825693,651,0.796998171,2,1
CLT-MIA,22.65332866,1631.543478,20.25788586,223.4910565,651,0.880500488,2,1
CLT-MIA,21.76387582,1728.538462,20.99296503,220.2089504,651,0.8841132,2,1
CLT-ORD,18.45894374,259.1111111,46.10915019,122.9723708,599,0.309616431,2,0
CLT-ORD,19.36428054,235.7362637,37.43304078,147.9920404,599,0.279610537,2,0
CLT-ORD,18.78751146,229.6521739,38.98577703,129,599,0.267169105,2,0
CLT-ORD,18.7043127,223.2391304,46.48567048,122.4029173,599,0.275992743,2,0
CLT-ORD,20.79141706,208.3901099,56.67845356,136,599,0.30002927,2,0
CLT-ORD,22.20446083,223.1758242,51.41994256,152,599,0.285607808,2,0
CLT-ORD,22.45178471,227.5054348,48.18093474,152.5414288,599,0.308066498,2,0
CLT-ORD,19.45013895,195.6358696,43.80107459,149.0126646,599,0.275562462,2,0
CLT-ORD,16.86181261,183.6,53.51085618,119,599,0.259823577,2,0
CLT-ORD,17.69616027,182.489011,53.22883893,122.0211457,599,0.250137446,2,0
CLT-ORD,19.44874675,176.0434783,52.92208556,138.9959861,599,0.232865092,2,0
